0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:21:15 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:21:15 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:21:15 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:21:58 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:23:12 -0500] "POST /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:23:38 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:23:50 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:26:05 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:26:10 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:26:14 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:26:17 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:26:19 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:26:54 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:32 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:32 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:35 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:39 -0500] "OPTIONS /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:40 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:40 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:40 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:44 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:44 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:51 -0500] "OPTIONS /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:51 -0500] "POST /project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:51 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:51 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:57 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:31:57 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:37:05 -0500] "OPTIONS /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:37:05 -0500] "POST /project1/login HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:42:10 -0500] "POST /project1/login HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:42:19 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:42:20 -0500] "POST /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:42:49 -0500] "POST /project1/logout HTTP/1.1" 200 -
